feature_name,index,feature_value,shap_effect,shap_effect_sd,intercept,sample,lo,med,hi,mae
WT,3,0.08513396715643916,-1.0225530440970168,1.0499312307278081,1.9752567969229848,1,-2.294687766660059,-1.1176393381481198,-0.07965426446975968,0.7231386221501294
WT,1,0.09204840103716502,-0.8030751310892853,0.877029062652922,1.9752567969229848,1,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,0.7231386221501294
WT,11,0.23076923076923073,-0.8758007707140264,1.1061744630992874,1.9752567969229848,1,-1.7706013182042004,-0.88742547477262,-0.07247582483567168,0.7231386221501294
WT,20,0.25496974935177186,-0.6711843196497411,0.9240935526864278,1.9752567969229848,1,-1.6285062630167235,-0.755494798124466,-0.03836444132047255,0.7231386221501294
WT,18,0.27225583405358683,-0.631465295132097,0.9393172475387589,1.9752567969229848,1,-1.1702660164936114,-0.5884615232815914,-0.030292595909587557,0.7231386221501294
WT,26,0.27571305099394977,-0.5555143125960703,0.8577858197941641,1.9752567969229848,1,-1.1633663415211124,-0.5601874511718268,-0.024299847852876078,0.7231386221501294
WT,17,0.28305963699222125,-0.6537875950878496,0.9574655302274179,1.9752567969229848,1,-1.363809307981741,-0.6666141414633981,-0.04596910424390419,0.7231386221501294
WT,29,0.28975799481417464,-0.6021441033348579,0.9074079225280776,1.9752567969229848,1,-1.450308387241952,-0.6656325291941037,-0.058673700819709636,0.7231386221501294
WT,14,0.2912705272255833,-0.6032095944041334,0.9174277835898456,1.9752567969229848,1,-1.2162870251721603,-0.5953054702762794,-0.039744528534862635,0.7231386221501294
WT,30,0.3087726879861711,-0.5694983934346644,0.898617818305366,1.9752567969229848,1,-1.3744347125179983,-0.6240475856965745,-0.05430259305283507,0.7231386221501294
WT,25,0.3744598098530683,-0.5263765876969888,1.0036051677233273,1.9752567969229848,1,-1.0974514748061854,-0.519824115617756,-0.038950375285098864,0.7231386221501294
WT,6,0.4124891961970612,-0.4014535914399007,0.9091764842842535,1.9752567969229848,1,-0.9499560508592058,-0.4178671794532681,-0.01651724044667309,0.7231386221501294
WT,16,0.45419187554019014,-0.3288040002926797,0.9680156201072467,1.9752567969229848,1,-0.6871959478132991,-0.2919576329786949,-0.01629153961264876,0.7231386221501294
WT,15,0.501296456352636,-0.15764558470273451,0.7920523070199702,1.9752567969229848,1,-0.3701516815386347,-0.13641874619904154,0.012095937845835798,0.7231386221501294
WT,9,0.5088591184096802,-0.15430349447366848,0.8272056981099211,1.9752567969229848,1,-0.357308520862838,-0.12564727191969366,0.017785228967870364,0.7231386221501294
WT,10,0.527009507346586,-0.11340227641615563,0.7279956389857565,1.9752567969229848,1,-0.3348915344385979,-0.0983754723192651,0.054985503582696355,0.7231386221501294
WT,27,0.5544511668107174,-0.06173955232937352,0.7891115597004217,1.9752567969229848,1,-0.2605859879824238,-0.037649285898893804,0.1407764722299993,0.7231386221501294
WT,28,0.5985306828003455,0.06196330363525845,0.9903466639890525,1.9752567969229848,1,-0.1343409517808772,0.09679661675244174,0.36949576256455213,0.7231386221501294
WT,22,0.6741573033707863,0.40222516891010346,1.1328831422065109,1.9752567969229848,1,-0.0016028120475148557,0.4052157698061119,0.8737523584165847,0.7231386221501294
WT,4,0.691011235955056,0.2579748157520569,0.749209346225552,1.9752567969229848,1,-0.016983279106664296,0.29750476967242556,0.7800931259576707,0.7231386221501294
WT,21,0.832324978392394,0.6034831153875867,0.6873298010063261,1.9752567969229848,1,0.023616171795805913,0.7169600610013549,1.673519699259186,0.7231386221501294
WT,13,0.9317199654278303,1.392773606483304,1.0274785997868232,1.9752567969229848,1,0.08115474367788934,1.3927382473369296,2.8319325191642983,0.7231386221501294
WT,24,0.9319360414866031,1.022587140993275,0.7813345029132529,1.9752567969229848,1,0.026306591448343408,1.016329584411483,2.1883997910343154,0.7231386221501294
WT,19,0.9507346585998271,1.3461140750279614,0.9450251849486037,1.9752567969229848,1,0.06642557527039131,1.45598126431039,3.0772218148572947,0.7231386221501294
WT,23,0.9507346585998271,1.3304637208775947,0.9260207309240482,1.9752567969229848,1,0.06744912847826881,1.425517552791404,3.036830861838076,0.7231386221501294
WT,12,0.9602420051858254,1.6863548551528347,1.1205138814232407,1.9752567969229848,1,0.10992145672790676,1.528609163027601,3.0194753182237064,0.7231386221501294
WT,5,1.0,1.7124702407427899,0.9903701681824346,1.9752567969229848,1,0.09378128284481185,1.6449411014841593,3.291365670888828,0.7231386221501294
