parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,2.5%,25.0%,50.0%,75.0%,97.5%,distribution
w[16],-0.24598637003923535,0.6515995143795765,0.02648761389259356,610.8435054740448,1176.4219162529637,1.0047352352591057,0.005830422215957821,-1.4312195877255742,-0.728136185137917,-0.24995954585583607,0.2259931140384472,1.0061841854090292,posterior
w[17],-0.23584474996388993,0.6211198771921356,0.026303565876204096,568.372028319097,1173.2486900252097,1.0002920236139012,0.005425037462367649,-1.4462211129127986,-0.6661174749608645,-0.21358433681410477,0.19398282272611453,0.9615189711696712,posterior
w[18],-0.23983515438820358,0.6460711713787908,0.023328478163737437,769.6637813180232,1179.773186542289,1.0021764071262151,0.0073463411973778946,-1.4490405608551946,-0.6999212072439309,-0.24710875901946028,0.2096852022596143,1.008066157234219,posterior
w[19],-0.05806894954871741,0.5251549066329905,0.012456694565387753,1771.4731791189406,1374.1815231743929,1.0008931423356673,0.01690848226419813,-1.1514724387192132,-0.37453389415802485,-0.03267440301358529,0.2776217630894619,0.9491453984604495,posterior
w[20],-0.055953726215880455,0.5340343045821722,0.012126968701427314,1928.342445445339,1427.0638336706393,0.9999990846586658,0.018405779112235586,-1.117078705106121,-0.4061423836751604,-0.04690156803042224,0.2867682948789371,0.9835819293718776,posterior
w[21],-0.07845932514064358,0.4956869903536956,0.01193763221284061,1734.2705129457656,1685.401439944409,1.0052193524788158,0.0165533876296393,-1.1319111144254346,-0.3951239960574533,-0.06630549087509288,0.2417180799354894,0.8682991298944163,posterior
w[22],-0.05773643287363139,0.5088628381129838,0.012982718167173312,1535.6293163279279,1373.2140119895867,1.002997370481447,0.014657383112301758,-1.0951408703731116,-0.3687892838540314,-0.05621347869564426,0.27835583424879434,0.8915017465330489,posterior
w[23],-0.045095577788667664,0.532020593046025,0.013657631304961367,1527.7627149081723,1486.3254934859947,1.0025631957095464,0.014582297419696686,-1.1345932784478232,-0.3758933910764768,-0.03645233102744444,0.28091201997532045,1.0121121290476613,posterior
w[24],-0.06421031187545503,0.547517685272004,0.013570564917667735,1628.8008564140348,1139.0241381801868,1.0010211167948546,0.015546693405928388,-1.1350676343430601,-0.42507459419317284,-0.0688322102557919,0.2836303368499415,1.055152548365487,posterior
w[25],-0.12055203435603877,0.5550812980264618,0.01593183167557543,1214.4393263551783,1304.9553817187796,1.003023900305309,0.011591666220334312,-1.2099623812968665,-0.5006582312219158,-0.09633324718216825,0.2400520301177724,0.9165642035447426,posterior
w[26],-0.11271697848151005,0.5406262138728986,0.015685817127853028,1169.3631511257252,1429.2475471937587,0.9993953285730245,0.011161419960673656,-1.2049042842607076,-0.4638255199494279,-0.10758887103317712,0.25645762105681036,0.8980179297618353,posterior
w[27],-0.05464700343980773,0.5480653502670443,0.014518666489990763,1412.8922971593229,1358.5129938632272,1.0052913852649286,0.013485874146636767,-1.2049453994979915,-0.4006485188120346,-0.030381406930635645,0.32649806084925675,0.945668887274631,posterior
w[28],-0.0897751551545564,0.5555793386399924,0.015669540738145585,1247.973228109444,1461.2433036335674,1.0015066116548283,0.01191174297325663,-1.1961823009681567,-0.4565590960634181,-0.08190294942374711,0.28011263393720187,0.9807485228514987,posterior
w[29],-0.11741364162401192,0.5402861593781477,0.014964740322094055,1292.9456330857556,1423.5954837683269,1.0011518057448905,0.012340998759279027,-1.196304313356863,-0.4806995841641076,-0.10645748050190372,0.24861268836860648,0.9271618348115443,posterior
w[30],-0.1257007736719807,0.5479763870098057,0.015635756420277893,1237.5932185129693,1317.7223205081727,1.0026256239704394,0.011812667124842434,-1.2943112626906508,-0.4779443337377386,-0.10205048018639093,0.24548308964468654,0.8776961033379763,posterior
w[31],-0.001984730443697174,0.5666234500580846,0.012054574900407868,2211.3929760467167,1592.1445701289335,1.0017152547549548,0.021107459799789435,-1.0942239345049998,-0.38546294390886743,-0.011213079740192618,0.38988828563287625,1.1023112881728079,posterior
w[32],0.14286285630267867,0.6580646382388923,0.02989756451145103,485.5169318264719,830.0373073210266,1.0086462118070096,0.004634196287882154,-1.0808797468440747,-0.32605325815455405,0.12024263641975094,0.6134513686596593,1.4194168045988351,posterior
